正字,異體字
怔,
怕,
怖,
思,
怠,
怡,
急,
性,
怨,
怪,恠
怯,
怵,
恃,
恆,恒
恍,怳
恐,𢙢
恕,
恙,
恢,
恣,
恤,卹賉
恥,耻
恨,
恩,摁
恪,
恫,
恬,
恭,
息,
恰,
恿,慂
悄,
悅,悦
悉,
悌,
悍,
悔,悔
悖,
悚,𢥠
悟,
悠,滺
患,
您,
悲,
悴,忰
悵,怅
悶,闷㥃懣
悸,
悻,
悼,
悽,凄淒
情,
惆,
惋,
惑,
惕,悐
惘,
惚,
惜,
惟,
惠,恵
惡,恶悪𢙣
惦,
惧,懼
惰,
惱,恼悩
想,
惴,
惶,
惹,
惺,𢜫
惻,恻
愀,
愁,
愈,愉癒
愉,愈
愎,
意,
愕,
愚,
愛,爱
愜,惬
感,
愣,
愧,媿
愴,怆
愼,慎昚眘
愾,忾
愿,願
慄,栗
慇,
慈,㤵
態,态
慌,
慍,愠
慎,愼
慕,
慘,惨
慙,慚
慚,惭慙
慝,
慟,恸憅
慢,
慣,惯
慧,
慨,慨
慫,怂
慮,虑
慰,
慳,悭
慶,庆
慷,忼
慼,戚慽
慾,欲
憂,忧
憊,惫
憋,𢠳
憎,憎
憐,怜
憑,凭凴𠗦
憔,顦
憚,惮
憤,愤
憧,
憨,
憩,憇
憫,悯愍
憬,
憲,宪
憶,忆
憾,
懂,
懇,恳
懈,
應,应応
懊,
懍,懔
懞,蒙朦矇苎
懣,懑㥃悶
懦,
懲,惩懲
懵,懜
懶,懒嬾
懷,怀懐怌
懸,悬
懺,忏懴
懼,惧
懾,慑
懿,
戀,恋
戈,
戊,
戌,
戍,
戎,
成,
我,
戒,
戕,
或,
戚,慼慽鏚
戛,戞
戟,㦸
戡,
戢,
截,
戮,
戰,战𢧐戦
戱,戯戲
戲,戏戯戱
戳,
戴,
戶,户戸
戾,戻
房,
所,
扁,碥
扇,搧煽
扈,
扉,
手,扌
才,纔
扎,紥紮
扒,
打,
扔,
托,拓託
扛,摃
扣,釦
扭,
扮,
扯,撦
扱,插
扳,攀
扶,
批,
扼,㧖搤
找,
承,
技,
抄,
抉,刔
把,
抑,
抒,
抓,
投,
抖,
抗,
折,摺
抨,
披,
抱,抔
抵,扺牴
抹,
押,
抽,𢭆
抿,㨉
拂,払
拄,
拆,
拇,𧿹
拈,
拉,柆
拋,抛
拌,
拍,
拎,
拐,枴柺
拒,
拓,托摭
拔,抜
拖,拕
拗,抝
拘,
拙,
拚,抃𢬵
招,
拜,拝
括,
拭,𢂑
拮,
拯,抍
拱,
拳,
拴,揎
拶,
拷,
拼,摒
拽,
拾,
拿,拏挐
持,
挂,掛
指,
挈,
按,
挎,
挑,
挖,
挨,捱
挪,
挫,繲
振,
挺,
挽,輓
挾,挟
捂,
捅,
捆,綑
捉,
捌,八
捍,扞
捎,
捏,揑
捐,
捕,
捗,
捧,
捨,舍
捩,
捫,扪
据,據
捱,挨
捲,卷巻
捶,搥箠
捷,
捺,
捻,
掀,
掂,敁
掃,扫埽
掄,抡
授,
掉,
掌,
掏,搯
掐,𠜼
排,
掖,
掘,撅
掙,挣
掛,挂
掠,
採,采
探,
掣,
接,
控,
推,
掩,揜
措,
掬,匊
掰,
揀,拣
揆,
揉,
揍,
描,
提,
插,挿扱揷
揖,
揚,扬
換,换
握,
揣,
揩,
揪,揫
揭,掲
揮,挥
援,
揹,背
損,损
搏,
搓,
搔,掻
搖,摇揺
搗,捣擣
搜,捜蒐𢯱𢲷
搞,攪
搪,傏
搬,搫
搭,搨撘
搶,抢
携,攜
搽,
搾,
摑,掴
摒,屏屛拼
摔,
摘,
摟,搂
摧,
摩,
摯,挚
摳,抠
摸,
摹,
摺,折
摻,掺
撇,撆
撈,捞
撐,撑
撒,
撓,挠
撕,
撚,
撞,
撤,
撥,拨
撩,
撫,抚拊捬
撬,
播,
撮,
撰,
撲,扑
撻,挞
撼,
撿,捡
擁,拥
擂,
擄,掳虜
擅,
擇,择択
擊,击撃
擋,挡攩
操,
擎,
擒,捦
擔,担
擘,
據,据拠
擠,挤
擡,抬
擦,
擧,挙舉
擬,拟儗
擰,拧
擱,搁
擲,掷擿
擴,扩拡
擺,摆
擻,擞
擾,扰
攀,㐴扳
攆,撵
攏,拢
攔,拦
攘,
攙,搀
攜,携
攝,摄摂
攣,挛
攤,摊
攪,搅撹搞
攫,
攬,揽㩜擥
支,
收,収㧃
改,
攻,
放,
政,
故,
效,効俲
敎,教
敏,勄敏
救,
敕,勅勑
敖,
敗,败䢙
敘,敍叙
教,敎
敝,
敞,
敢,
散,
敦,惇
敬,
敲,
整,
敵,敌
敷,尃旉
數,数
斂,敛歛
斃,毙
文,
斌,彬
斐,
斑,
斕,斓
斗,鬥
料,
斜,
斟,
斡,
斤,觔
斥,㡿
斧,
斫,
斬,斩
斯,
新,
斷,断𣃔
方,
於,于亏扵
施,
旁,
旅,
旋,
旌,
旎,
族,
旖,
旗,旂
既,旣
旣,既
日,
旦,蛋
旨,
早,
旬,
旭,旮旯
旱,
旺,
昀,
昂,昻
昆,崑
昇,升
昌,
明,朙
昏,昬
易,
昔,
星,
映,暎
春,萅
昧,
昨,
昭,
是,昰
時,时旹
晃,晄
晉,晋
晌,
晏,
晒,曬
晚,晩
晝,昼
晤,
晦,
晨,
普,
景,
晰,晢晳
晴,
晶,
智,
晾,
暇,
暈,晕
暉,晖
暑,暑
暖,煖
暗,晻闇
暢,畅昶
暨,曁
暫,暂
暮,
暴,虣
暹,
曆,历暦厤歴歷
曇,昙
曉,晓暁
曏,向
曖,暧瞹
曙,
曜,燿耀
曝,
曠,旷昿
曦,
曬,晒
曰,
曱,
曲,麴
曳,曵
更,㪅
曷,
書,书
曹,曺
曼,㬅
曾,曽
替,
最,
會,会
月,
有,
朋,
服,
朔,
朕,
朗,朖朗
望,朢
朝,晁
期,朞
朦,懞矇苎蒙
朧,胧
木,
未,
末,
本,夲
札,剳箚
朮,术
朱,硃
朴,樸
朵,朶
机,機
朽,
杆,桿
杉,
李,
杏,
材,
村,邨
杖,
杜,
杞,
束,
杠,槓
杧,芒
杭,
杯,桮盃
杰,傑
東,东
杳,
杵,
杷,朳
松,枀枩鬆
板,版闆
极,極
枇,
枉,
枋,
析,
枕,
林,
枚,
果,菓
枝,
枠,
枯,
枴,拐柺
架,榢
枸,
柄,棅
柏,栢
某,厶
柑,
柒,七漆
染,
柔,
柚,櫾
柜,櫃
柞,
查,査楂
柩,柾
柬,
柯,
柱,
柳,檉
柴,茈
柵,栅
柺,枴拐
査,查
柿,枾
栃,
栓,
栗,慄
校,
栩,
株,
核,覈
根,
格,
栽,
桀,
桁,航
桂,
桃,
桅,
框,
案,
桌,
桐,
桑,桒
桓,
桔,
桶,
桿,杆
梁,樑
梃,
梅,楳梅
梆,
梓,
梔,栀
梗,
梘,枧
條,条糶
梟,枭鴞
梢,
梧,
梨,棃
梭,
梯,
械,
梱,
梳,
梵,
棄,弃
棉,
棋,棊碁
棍,
棒,
棕,㯶椶
棗,枣
棘,
棚,
棟,栋
棠,
棣,
棧,栈桟
森,
棱,稜楞
棲,栖
棵,
棹,櫂
棺,
椅,
植,
椎,槌
椒,茭
椰,㭨
椿,
楊,杨
楓,枫
楔,
楚,椘
楞,棱稜
楠,枏枬
楨,桢
楫,檝艥
業,业
極,极
楷,
楹,
概,槩槪
榆,楡
榔,
榕,
榘,矩
榛,亲
榜,
榦,干乾
榨,醡
榫,
榭,
榮,荣栄
榴,橊
榷,
榻,
槁,槀
構,构搆
槌,棰椎
槍,枪
槐,
槓,杠篢
槤,梿
槨,椁
槪,㮣概
槳,桨
槽,
樁,桩
樂,乐楽
樅,枞
樊,棥
樑,梁
樓,楼
標,标
樞,枢
樟,
模,
樣,样様
樵,
樸,朴
樹,树
樺,桦
樽,墫罇
橄,
橇,鞒鞽
橋,桥
橘,
橙,
機,机几
橡,
橢,椭楕
橫,横
檀,
檄,
檐,簷
檔,档欓
檜,桧栝
檢,检検
檬,
檯,枱台儓
檳,槟㯽梹
檸,柠
檻,槛
櫂,棹
櫃,柜樻鐀饋
櫓,橹㯭樐舮舻艣艪艫
櫚,榈
櫛,栉
櫝,椟匵
櫥,橱櫉
櫻,樱桜
欄,栏欄
權,权権
欖,榄
欠,缺
次,
欣,忻
欲,慾
欺,
欽,钦
款,欵
歇,
歉,
歌,謌
歎,叹嘆
歐,欧
歙,
歟,欤
歡,欢歓懽
止,
正,
此,
步,歩
武,
歧,岐
歪,
歲,岁歳亗嵗𡻕
歷,历歴厯曆
歸,归帰皈
歹,歺
死,
歿,殁
殃,䄃
殆,
殉,侚狥
殊,
殖,
殘,残
殤,殇
殭,僵
殮,殓
殯,殡
殲,歼殱
段,
殷,
殺,杀殺
殼,壳殻㱿
殿,
毀,毁
毁,毀燬譭
毅,
毆,殴
毋,
母,
每,毎
毒,
毓,
比,
毗,毘
毛,
毫,
毯,
毽,
氈,毡氊
氏,
氐,
民,
氓,甿
氖,
氛,
氟,
氣,气気炁
氤,絪
氦,
氧,
氨,
氫,氢
氮,
氯,綠
氳,氲
水,氵
氷,冫冰
永,
氾,泛
汀,
汁,
求,
汎,泛
汐,
汕,
汗,
汛,
汝,
汞,
江,
池,
污,汙汚洿
汨,
汪,
汰,
汲,
決,决
汽,
汾,
沁,
沃,
沅,厵
沈,沉瀋
沉,沈瀋
沌,
沐,
沒,没
沖,冲
沙,
沛,
沫,
沮,
沱,沲
河,
沸,㵒
油,
治,
沼,
沽,
沾,
沿,
況,况湟
泄,洩渫
泅,
泉,洤
泊,泺濼
泌,
泓,
法,
泗,
泛,氾汎
泡,
波,
泣,
泥,坭
注,註
泰,
泱,
泳,
泵,
洋,
洌,冽
洗,
洛,
洞,峒
津,
洪,洚
洱,
洲,
洶,汹
活,
